pessoa;checado;selo;paragrafo;comentario
SIMONE TEBET;não;NA;É muito simples. A Harmonia dos Poderes depende excessivamente de um Presidente da República que saiba cumprir a constituição e o seu papel. Nós hoje temos uma radicalização, uma desarmonia em função de termos um presidente que ameaça a democracia, os valores democráticos a todo momento. Não respeita a imprensa livre, não respeita a independência do Supremo Tribunal Federal, do poder judiciário e do poder legislativo.;NA
SIMONE TEBET;não;NA;A resposta é: precisamos trocar o Presidente da República. Sem paz nós não vamos unir o Brasil. Sem união o Brasil não vai voltar a crescer, gerar emprego, renda pra população brasileira.;NA
SIMONE TEBET;não;NA;A nossa candidatura, a candidatura do Centro Democrático do MDB, do PSDB, do Cidadania e do Podemos, é uma candidatura que vai reposicionar o Brasil porque é a única capaz de garantir credibilidade, previsibilidade e segurança jurídica. Como professora e como advogada, respeito a constituição e os demais poderes. Está na hora dos poderes terem as suas funções. É a política que está judicializando o Poder Judiciário e consequentemente o Poder Judiciário acaba excedendo no seu poder. Nós vamos fazer a diferença e vamos pacificar o Brasil.;NA
MEDIADORES;não;NA;Candidato Jair Bolsonaro.;NA
JAIR BOLSONARO;sim;falso;Assumi a Presidência e escolhi meus ministros pelos critérios técnicos, sem ingerência política.;Repetida por Bolsonaro ao menos 65 vezes desde o início do seu governo, a declaração é FALSA. Além de membros da sua gestão terem sido escolhidos por critérios políticos, nem todos eram formados ou tinham experiência na área de atuação da pasta que comandaram. Gilson Machado (PL-PE), ministro do Turismo até março deste ano, é veterinário e produtor rural, e o seu maior vínculo com o setor turístico era o fato de ser proprietário de pousada em Alagoas. João Roma (PL-BA), que chefiou o Ministério da Cidadania também até março, é deputado federal e foi alçado ao cargo após um acordo com o Republicanos, seu então partido. Já Eduardo Pazuello (PL-RJ), que comandou o ministério da Saúde entre maio de 2020 e março de 2021, era general do Exército e atuava na área logística.
JAIR BOLSONARO;não;NA;Isso causou um desconforto por parte de alguns políticos e por parte de alguns partidos como o MDB por exemplo. Então eu abalei a harmonia onde todos eram amiguinhos e, obviamente, davam uma banana para o povo brasileiro. Hoje vocês conhecem quem são os meus ministros e sabem a capacidade de cada um. Possíveis problemas com o Supremo Tribunal Federal. É uma voz corrente a ingerência, o ativismo judicial que hoje se faz presente no Brasil. Um ministro agora há pouco interferiu mandando investigar, fazendo busca e apreensões e entre outras barbaridades, um grupo de empresários. Ou seja, esse não é o trabalho do Poder Judiciário. Reagi no tocante a isso. Como por exemplo também dei anistia a um deputado federal que havia injustamente sido condenado a nove anos de cadeia por falar. Não interessa o que ele falou. Ele tem imunidade por qualquer palavra, opinião e voz. Eu não tenho problemas com poder nenhum. Alguns poderes, ou melhor, alguns ministros do Supremo Tribunal Federal que querem a qualquer preço interferir no Poder Executivo.;NA
JAIR BOLSONARO;não;NA;Nós não podemos admiti-los isso aí. Harmonia tem que existir e a independência e o respeito acima de tudo.;NA
JAIR BOLSONARO;sim;falso;E o respeito não falta da minha parte. De outra parte, que alguns se manifestam contrário a minha pessoa.;A declaração é falsa porque, em diferentes momentos, Bolsonaro usou palavrões para se referir a ministros do STF (Supremo Tribunal Federal) e falseou informações sobre integrantes da corte. Durante a manifestação do 7 de Setembro de 2021, o presidente chamou o ministro Alexandre de Moraes de “canalha”. No dia 6 de agosto de 2021, se referiu ao ministro Luís Roberto Barroso como “filho da puta”. Além de xingar o magistrado, Bolsonaro também já espalhou mentiras sobre Barroso, como a de que ele seria favorável à redução da pena em caso de estupro de vulnerável. Em outubro de 2019, Bolsonaro publicou em suas redes sociais um vídeo em que retratava os ministros do STF, sem menção específica a qualquer um deles, como hienas.
MEDIADORES;não;NA;Obrigada.;NA
MEDIADORES;não;NA;Obrigada candidato. Agora eu faço a próxima pergunta para os candidatos Lula e Ciro Gomes, nessa ordem. A educação no Brasil, o retrato da educação já era considerado há muitos anos ruim com o Brasil na lanterninha dos testes internacionais de avaliação da qualidade do ensino. Só que com a pandemia essa situação se agravou muito. Um estudo recente da Fundação Getúlio Vargas indica que o retrocesso no aprendizado de matemática foi de quinze anos. Em português nossas crianças retrocederam uma década. E o abandono escolar também foi muito mais forte com a pandemia. Ampliou muito sobretudo entre as crianças de cinco a nove anos de idade.;NA
MEDIADORES;não;NA;A minha pergunta é: se eleitos os senhores tem um plano pra que o Ministério da Educação haja imediatamente pra resgatar essa geração covid de crianças que podem estar condenadas no futuro a baixos salários, a subemprego, comprometendo inclusive o crescimento do Brasil e qual é o plano? Começamos com o candidato Lula.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Olha, primeiro eu quero parabenizar a Bandeirantes por manter a sua tradição em fazer os debates políticos em época de campanha. Segundo, dizer pra vocês que lamentavelmente a gente não tem informação do MEC para saber quantas crianças estão hoje, sabe, com o grau de educação muito abaixo daquilo que deveria estar. Porque hoje nós temos dois tipos de de estudante. Nós temos aquele que teve acesso a tablet, computador e que continuou estudando durante a pandemia. E nós temos aqueles mais pobres que não conseguiram acompanhar, ficaram sem ir pra aula.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Além disso nós temos no ensino médio uma quantidade de evasão escolar muito grande. E nós precisamos então trazer essas pessoas. O que que eu estou comprometido a fazer? A primeira coisa que eu pretendo fazer se ganhar as eleições é logo no começo de janeiro convocar uma reunião com todos os governadores de estados. Convocar uma reunião com os prefeitos das capitais no primeiro momento para que a gente possa fazer um pacto, de fazer uma verdadeira guerra contra o atraso educacional que a pandemia deixou e quanto o atraso educacional de outras situações pelo corte de dinheiro que houve na educação. Eu sou daqueles que quando peguei a educação...;NA
LUIZ INÁCIO LULA DA SILVA;sim;falso;...eu quintupliquei o orçamento da Educação...;Ao deixar o governo, em 2010, Lula havia triplicado o orçamento da Educação em relação ao último ano da gestão FHC, não quintuplicado. Em 2002, foram destinados à área R$ 14,7 bilhões, dos quais R$ 13,2 bilhões foram executados. Em 2010, o Orçamento destinou R$ 48,5 bilhões à Educação – 3,3 vezes a mais que seu antecessor –, e R$ 38,3 bilhões foram de fato gastos – 2,8 vezes mais do que ao fim da gestão do PSDB.
LUIZ INÁCIO LULA DA SILVA;não;NA;...porque eu acreditava que era necessário melhorar a educação. Lamentavelmente, a educação foi abandonada nesse país.;NA
MEDIADORES;não;NA;Obrigada candidato. Agora a mesma pergunta para o candidato Ciro Gomes. Boa noite.;NA
CIRO GOMES;não;NA;Boa noite a todos e a todas os brasileiros. Eu quero agradecer a Bandeirantes que lideram esse pool por essa oportunidade de debater. Quero cumprimentar, dar um boa noite a todos os meus ilustres oponentes aqui, as senhoras e aos senhores candidatos. E a todos os brasileiros eu devo dizer basicamente que essa pergunta parece ser uma escolha que Deus me deu. Por quê?;NA
CIRO GOMES;sim;não é bem assim;Porque o Ceará tem hoje a melhor educação pública do Brasil.;O candidato é impreciso em sua declaração, porque dados do Inep (Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira) de 2019, os mais recentes disponíveis, mostram que o Ceará possui o melhor Ideb do sistema público em apenas uma das duas faixas etárias pesquisadas pelo órgão. Com 5,2, o Ceará ocupa a primeira colocação do Ideb entre alunos do nono ano. Em relação aos resultados verificados do 5º ano, o estado aparece na terceira colocação (6,3), atrás de São Paulo (6,5) e Paraná (6,4). Já em relação à faixa do terceiro ano do ensino médio, as estatísticas de desempenho ficam a cargo dos estados e indicam que o Ceará ocupa a sexta posição, com índice de 4,2. Estão à frente Goiás (4,7), Espírito Santo (4,6), Paraná (4,4) Pernambuco (4,4), São Paulo (4,3).
CIRO GOMES;não;NA;E eu modestamente ajudei a produzir isso.;NA
CIRO GOMES;sim;não é bem assim;Nós temos todos os indicadores de avaliação 79 das 100 melhores escolas públicas do Brasil.;O dado de que 79 escolas públicas do Ceará estão entre as 100 melhores do país é referente apenas aos anos iniciais do ensino fundamental, ou seja, do 1° ao 5° ano.
CIRO GOMES;não;NA;E já estamos encaminhando uma equação para essa esse prejuízo grave que a pandemia causou entre a comunidade escolar. Porém, vamos ter clareza. Eu vou fazer durante esse debate um esforço imenso pra que a gente entenda que os problemas brasileiros de hoje não são problemas que nasceram agora. O descuido com a educação brasileira parece ser um projeto de governo.;A informação consta em levantamento publicado pelo Ipece (Instituto de Pesquisa e Estratégia Econômica do Ceará) em dezembro de 2020, com os últimos dados disponíveis do Ideb (Índice de Desenvolvimento da Educação Básica), de 2019. No entanto, se forem observados os anos finais do ensino fundamental – do 6° ao 9° ano – , 60 escolas cearenses estão no ranking. Já no ensino médio, 21 unidades da rede estadual estão entre as 100 mais bem avaliadas do Brasil.
CIRO GOMES;não;NA;Portanto, nós precisamos transformar a educação pública brasileira numa das 10 melhores do mundo em 15 anos. E pra isso eu preciso dizer como. Mudar o padrão pedagógico, trocar o decoreba por um ensino emancipador que é dos tempos digitais pedem. E reforçar estruturalmente o financiamento.;NA
CIRO GOMES;não;NA;Se nós não mudarmos o modelo de financiamento da educação brasileira, assim como da saúde, assim como de todas as grandes questões, será falsa toda e qualquer promessa ou desconhecimento da realidade em que estamos atolados no Brasil. Eu quero pedir a todos que acompanham nas minhas redes os detalhes dessa proposta.;NA
MEDIADORES;não;NA;Começa agora a primeira rodada de confronto direto entre os candidatos. Todos perguntam e todos respondem. Lembrando que perguntas e réplicas têm um minuto cada. Respostas e tréplicas somadas têm quatro minutos que serão administradas pelo próprio candidato. Pelo sorteio prévio, quem começa essa rodada indicando quem vai responder é o candidato Jair Bolsonaro. Por favor, para quem vai a sua pergunta.;NA
JAIR BOLSONARO;não;NA;Ex-presidente Lula.;NA
MEDIADORES;não;NA;Um minuto, por favor.;NA
JAIR BOLSONARO;não;NA;Corrupção.;NA
JAIR BOLSONARO;sim;falso;A Petrobras, ao longo de 14 anos de PT, se endividou em torno de R$ 900 bilhões.;A declaração é FALSA. De acordo com as demonstrações financeiras da Petrobras, a dívida bruta da companhia em 31 de dezembro de 2015, último ano completo do governo de Dilma Rousseff (PT), era de R$ 492,8 bilhões. Essa cifra, corrigida pelo IPCA (Índice de Preços ao Consumidor Amplo), ficaria atualmente em R$ 681,4 bilhões. Em 2003, os resultados divulgados pela Petrobras à Bovespa (Bolsa de Valores de São Paulo, atual B3) indicavam um endividamento total de R$ 63,791 bilhões (R$ 176 bilhões, corrigidos). Essa diferença, portanto, é de R$ 429,058 bilhões em valores nominais e de R$ 505,4 bilhões se considerada a correção pela inflação, valor muito menor que o citado pelo candidato.
JAIR BOLSONARO;não;NA;Fruto de desmandos, refinarias começadas não concluídas, entre tantas outras coisas. Esses R$ 900 bilhões daria pra fazer 60 vezes a transposição do Rio São Francisco. Ou seja, o povo nordestino sofreu por falta d'água por causa de corrupção do seu governo. Mais ainda, esse montante é equivalente a 120 vezes o orçamento do Ministério da Infraestrutura. Eu estou falando isso pra que se tenha noção do tamanho da corrupção somente na Petrobras.;NA
JAIR BOLSONARO;sim;verdadeiro;E delatores devolveram R$ 6 bilhões.;Bolsonaro se refere aos valores devolvidos à Petrobras em acordos de colaboração, leniência, repatriações e renúncias, que somam R$ 6,17 bilhões entre o início da Operação Lava Jato e o fim de 2021, último dado disponível.
JAIR BOLSONARO;não;NA;Ou seja, corrupção houve. Presidente Lula, o senhor quer voltar o poder pra quê? Para continuar fazendo a mesma coisa na Petrobras?;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Eu acho que de vez em quando a gente tem que acreditar, sabe? De que nada acontece por acaso. Era preciso ser ele para me perguntar e eu sabia que essa pergunta viria. Eu acho que isso é importante porque as pessoas precisam saber de que inverdades não valem a pena na televisão. Citar números que são mentirosos também não compensa na televisão. Aqui é importante a gente citar o seguinte, tá? Não teve nenhum presidente da República que fez mais investigação para que a gente apurasse a corrupção do que nós fizemos. E é importante deixar claro que nós fizemos o Portal da Transparência, ...;NA
LUIZ INÁCIO LULA DA SILVA;sim;não é bem assim;... fiscalização da CGU, ...;Criada em 2001 como Corregedoria-Geral da União, durante o governo de Fernando Henrique Cardoso (PSDB), a CGU tinha a função de fiscalizar fraudes e casos de corrupção de servidores públicos. Em 2003, primeiro ano da gestão Lula, a entidade foi transformada em controladoria e foram adicionadas ações de transparência e punições a fornecedores do governo envolvidos em irregularidades.
LUIZ INÁCIO LULA DA SILVA;sim;verdadeiro;...a lei de acesso à informação...;O projeto de lei que regulamenta o acesso à informação foi apresentado pelo Executivo durante o governo Lula, em 2009. Ele foi, posteriormente, anexado a um projeto apresentado em 2003. Foi aprovado na Câmara dos Deputados em 2010, último ano de Lula na Presidência, e no Senado em 2011, primeiro ano do governo Dilma Rousseff (PT). Em 18 de novembro de 2011, foi sancionado e se tornou a lei nº 12.527, conhecida hoje como Lei de Acesso à Informação.
LUIZ INÁCIO LULA DA SILVA;sim;verdadeiro;...a lei anticorrupção...;O projeto de lei anticorrupção foi apresentado pelo executivo em 2010, último ano da gestão de Lula. A Lei 12.846, que prevê punição de atos contra a administração pública, foi sancionada pela presidente Dilma Rousseff (PT) em 2013.
LUIZ INÁCIO LULA DA SILVA;sim;verdadeiro;...a lei contra crime organizado...;O projeto de lei que tipifica o delito de organização criminosa foi apresentado em 2009 pela então senadora Serys Slhessarenko, que era filiada ao PT na época. A norma foi sancionada no ano de 2013 pela presidente Dilma Rousseff (PT).
LUIZ INÁCIO LULA DA SILVA;sim;não é bem assim;a lei contra lavagem de dinheiro.;A Lei nº 9.613/1998, que tipificou o crime de lavagem de dinheiro e ocultação de bens, foi sancionada no governo do ex-presidente Fernando Henrique Cardoso (PSDB), em março de 1998. A gestão Dilma Rousseff (PT) sancionou a Lei nº 12.683/2012, que fez modificações no texto já existente com vistas a melhorar os processos penais envolvendo a lavagem de dinheiro, que é ocultar ou dissimular a origem ilícita de bens ou valores.
LUIZ INÁCIO LULA DA SILVA;não;NA;Colocamos a AGU no combate à corrupção, fizemos o COAF funcionar e a movimentação bancárias atípicas. Ou seja, colocamos o gato no combate. Então tudo que foi eu, sabe? Que nós fizemos no nosso governo.;NA
MEDIADORES;não;NA;Por favor, um minuto.;NA
JAIR BOLSONARO;não;NA;Segundo Palocci, tudo no seu governo foi aparelhado. Tudo. Exceto o Banco Central. Então, se todo mundo fazia mal feitos, roubava, desviava, só o ex-presidente não sabia.;NA
JAIR BOLSONARO;não;NA;E o Palocci conclui na sua delação premiada que foi lhe reservado uma conta no exterior de R$ 300 milhões. Que o senhor recebia pacotes dele mesmo de R$ 50 mil a título de propina.;NA
JAIR BOLSONARO;não;NA;O seu governo foi marcado pela cleptocracia, ou seja, um governo feito à base de roubo. E essa roubalheira era aconseguir apoio dentro do parlamento. Não era apenas para o ex-presidente Lula. Era para ele também conseguir apoio dentro do parlamento. Assim sendo, nada justifica essa resposta mentirosa que você deu nessa questão. Sim, o seu governo foi o governo mais corrupto da história do Brasil.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Oh, é indescritível o que nós acabamos de ouvir. O presidente só ia estar informado de que foi exatamente no nosso governo que a Petrobras ganhou o tamanho que ganhou;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Com a capitalização de R$ 70 bilhões para a Petrobras crescer. O presidente precisava saber que o meu governo é marcado pela  política de inclusão social, ...;NA
LUIZ INÁCIO LULA DA SILVA;sim;verdadeiro;... pela maior geração de emprego, ...;Em 2002, último ano do governo de Fernando Henrique Cardoso (PSDB), o Brasil tinha um total de 28,7 milhões de empregos formais (com carteira assinada). Em 2010, ao deixar o governo, esse saldo havia crescido para 44,1 milhões, aumento de 15,4 milhões de vagas com carteira assinada, a maior evolução registrada desde o início da série histórica da Rais (Relação Anual de Informações Sociais), relatório do Ministério do Trabalho e Previdência produzido a partir de informações das empresas, em 1985.
LUIZ INÁCIO LULA DA SILVA;não;NA;... pelo maior aumento de salário mínimo, pelo maior investimento na agricultura familiar, pelo maior investimento na criação da lei geral da pequena empresa, pela criação do simples. Ou seja, o nosso governo além disso foi o governo que mais fez investimento na educação. São 18 universidades federais novas, 178 campi e 422 escolas técnicas que fez uma revolução nesse país. O meu governo deveria ser conhecido exatamente por isso. Porque quando eu cheguei na presidência a gente tinha 3,5 milhões de estudantes na universidade.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Quando eu saí da Presidência a gente tinha a gente tinha 8,5 milhões de pessoas na universidade.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;É exatamente isso que é a marca do meu governo. 51 milhões de hectares de terra disponibilizado para efeito de assentamento de pessoas nesse país.;NA
LUIZ INÁCIO LULA DA SILVA;sim;falso;O menor desmatamento da Amazônia foi feito no meu governo, dos acordos que nós fizemos.;Na verdade, a menor taxa de desmatamento da Amazônia foi registrada em 2012, durante o governo de Dilma Rousseff (PT), quando foram degradados 4,6 mil km quadrados, de acordo com os dados do Inpe (Instituto Nacional de Pesquisas Espaciais).
LUIZ INÁCIO LULA DA SILVA;não;NA;Foi o meu governo que fez o acordo com a Alemanha e com a Noruega para que a gente tentasse, sabe, contribuir com a preservação da Amazônia e com a exploração da riqueza, da biodiversidade para garantir possibilidade de desenvolvimento para quase 30 milhões de pessoas que moram na Amazônia.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Foi o meu governo que deu cidadania ao Brasil nas suas relações internacionais. Nunca antes na história do Brasil o Brasil foi tão respeitado no mundo. Respeitado pelos Estados Unidos, respeitado pelo Chile, pela China, pela Rússia. Sabe? Pela Índia. Respeitado pela União Europeia.;NA
LUIZ INÁCIO LULA DA SILVA;sim;não é bem assim;E foi exatamente no meu governo que nós fizemos com que o país, que não tinha o fluxo comercial se quer de US$ 100 bilhões ultrapassasse US$ 500 bilhões de comércio no exterior.;O fluxo comercial (total de exportações e importações) do Brasil de fato chegou a US$ 492 bilhões em 2011, primeiro ano do governo Dilma Rousseff (PT), próximo aos US$ 500 bilhões citados por Lula. Porém, esse montante começou a cair ainda durante os governos petistas. Segundo os dados do ITC (Centro de Comércio Internacional), em 2015, último ano completo do governo Dilma Rousseff — afastada da Presidência pelo processo de impeachment em maio de 2016 —, o fluxo comercial havia caído para cerca de US$ 363 bilhões. Em 2010, último ano do governo Lula, a soma das importações e exportações era de US$ 394 bilhões. No início de 2003, primeiro ano do mandato de Lula, o fluxo comercial era de US$ 125 bilhões.
LUIZ INÁCIO LULA DA SILVA;não;NA;Esse país que é um país que quando eu deixei a Presidência estava crescendo a 7,5%.;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;Este país que teve 20 milhões de emprego com carteira assinada;NA
LUIZ INÁCIO LULA DA SILVA;não;NA;É o país que o atual presidente está destruindo está destruindo porque ele adora, adora  falar números que não existem, adora entender que o povo que está aí ouvindo a gente acredita no que ele fala. Portanto o país que eu deixei é um país que o povo tem saudade. É o país do emprego, é o país em que o povo tinha o direito de viver dignamente de cabeça erguida nesse país. E esse país vai voltar.;NA
MODERADORES;não;NA;O próximo a perguntar é o candidato Ciro Gomes.;NA
CIRO GOMES;não;NA;Vou perguntar ao presidente Jair Bolsonaro. Presidente Bolsonaro, o senhor, infelizmente, pra mim, costuma falar muitos absurdos. Eu não sei se por maldade ou pra desviar atenção dos gravíssimos problemas do governo, seja de inflação, seja de corrupção, seja de problemas familiares. Mas assim, entre tantas aberrações que eu já ouvi, que me levaram a certa indignação, eu anteontem fiquei chocado. O senhor disse puro e simplesmente que o Brasil não tem gente com fome e que pessoas não procuram pedir comida porque o Brasil não tem propriamente fome. As pessoas até não comem bem, ouvi o senhor falando, mas que não tem fome no Brasil.;NA
CIRO GOMES;não;NA;O senhor, qualquer pessoa que conhece o Brasil como eu conheço, que anda nas ruas, vê as pessoas com placa pedindo comida, né? Qualquer pessoa que não tenha trocado uma o coração por uma pedra sabe que a fome está no lado de muitos milhões de brasileiros. Que a subnutrição ofende crianças da mais jovem das idades, as mães estão nos ouvindo aqui. E ela sabe o que é uma criança dizer, mãe, estou com fome. O senhor não teme que isso seja interpretado como conivência com isso?;NA
JAIR BOLSONARO;não;NA;Cada um interpreta as informações como se acha melhor. Ciro, inflação você tem que falar do fica em casa a economia a gente vê depois.;NA
